date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:18	441279/441279	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Apr%202019%2012:39:17%20GMT	https://leilakzaki.wixsite.com/qawam	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/leilakzaki.wixsite.com/qawam.html	(from )
14:39:20	445/445	---M--	200	added ('OK')	text/plain	date:Wed,%2024%20Apr%202019%2012:39:19%20GMT	https://leilakzaki.wixsite.com/robots.txt		(from )
14:39:21	2933/2933	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Apr%202019%2012:39:20%20GMT	https://leilakzaki.wixsite.com/sitemap.xml	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/leilakzaki.wixsite.com/sitemap.xml	(from https://leilakzaki.wixsite.com/qawam)
14:39:23	2933/2933	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Apr%202019%2012:39:22%20GMT	https://leilakzaki.wixsite.com/feed.xml	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/leilakzaki.wixsite.com/feed.xml	(from https://leilakzaki.wixsite.com/qawam)
14:39:27	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://leilakzaki.wixsite.com/qawam)
14:39:30	17493/17493	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://leilakzaki.wixsite.com/qawam)
14:39:40	131253/131253	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e039488ff9fcb03e4cbfee35fc141ba8%22	https://static.parastorage.com/services/wix-bolt/1.2344.0/bolt-main/app/main-r.min.js	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.parastorage.com/services/wix-bolt/1.2344.0/bolt-main/app/main-r.min.js	(from https://leilakzaki.wixsite.com/qawam)
14:39:49	12669/12669	---M-Z	200	added ('OK')	text/css	etag:W/%223315e49dce769d618287be7dd590e2a7%22	https://static.parastorage.com/services/wix-bolt/1.2344.0/node_modules/wix-santa/static/css/viewer.min.css	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.parastorage.com/services/wix-bolt/1.2344.0/node_modules/wix-santa/static/css/viewer.min.css	(from https://leilakzaki.wixsite.com/qawam)
14:39:53	141271/141271	---M-Z	200	added ('OK')	text/css	etag:W/%221ebf08bf116ea9f0e944eecb27c8c8a1-1%22	https://static.parastorage.com/services/santa-resources/resources/viewer/user-site-fonts/v5/languages.css	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.parastorage.com/services/santa-resources/resources/viewer/user-site-fonts/v5/languages.css	(from https://leilakzaki.wixsite.com/qawam)
14:39:56	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://leilakzaki.wixsite.com/qawam)
14:40:00	1522/1522	---M--	200	added ('OK')	image/png	etag:%22b99ad060add6edf8dcabf85de74182b0%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	(from https://leilakzaki.wixsite.com/qawam)
14:40:04	4950/4950	---M--	200	added ('OK')	image/png	etag:%2248592399b1947105ac32d7a433e14894%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/liftedshadow_medium.png	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/liftedshadow_medium.png	(from https://leilakzaki.wixsite.com/qawam)
14:40:10	15883/15883	---M--	200	added ('OK')	image/jpeg	etag:%228b64e6db87fb664bb6139824b64876af%22	https://static.wixstatic.com/media/0983ceb77a4e49c6978e4515d8a454f6.jpg/v1/fill/w_480,h_291,al_c,q_80,usm_0.66_1.00_0.01,blur_2/0983ceb77a4e49c6978e4515d8a454f6.jpg	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.wixstatic.com/media/0983ceb77a4e49c6978e4515d8a454f6.jpg/v1/fill/w_480,h_291,al_c,q_80,usm_0.66_1.00_0.01,blur_2/0983ceb77a4e49c6978e4515d8a454f6.jpg	(from https://leilakzaki.wixsite.com/qawam)
